text,label,prediction,probability_positive,correct
"Steven Seagal's films of late have not exactly been good, but this is by far the worst since The Patriot. The plot makes no sense what so ever; it is never clear in what the relationships between the characters are, who works for who or who is double crossing who. The film is completely disjointed, each scene seems to confuse the story further rather than carry it forward. Even the action sequences are uninspired and hard to follow. Most of the blame must lie at the director's feet for not even understanding the basics of film making, but Seagal does not get off lightly, as one of the producers of this film, he must also share the blame. Oh, and I haven't even mentioned how awful the acting is, even by Seagal standards. Even as straight to video fodder, this is not worth a view even for Seagal fans. Give it a wide berth!",0,0,0.0072194263,1
"Just finished watching this movie. I couldn't imagine watching this on VHS, as there were scenes where I needed the subtitles to hear through an accent or sound effect, even though the scene itself was in English.<br /><br />Visually, the movie is pretty appealing. The few CG effects were very obvious insertions, but the prosthetics/creature effects weren't bad. Not perfect, but photography and editing (which were pretty good) made up for a lot. Acting was generally bad, though how much of that can be blamed on the director I couldn't say, having never seen any of the actors before. The exception, I think, was M. Gomez (Uxia). She stole every scene she had a part in, and not just because of a very pretty face, but there was something akin to an urgency to her performance that none of the others had. The writing could have been a lot better - the plot was still unmistakably Lovecraft, and plenty of Lovecraft details were written in, but I personally could have done without most of the dialogue.",0,1,0.6138109,0
"""Wild Rebels"" was probably a fun second film at a drive in movie triple feature 40 years ago. It hasn't aged very well, but it was never meant to age well; it was obviously intended to be disposable, forgettable fun from its inception. Taken on that level, it's a good example of the biker flick genre.<br /><br />Several elements help distinguish it from the dozens of similar films being churned out at the same time. The 'hero', 'Rod Tillman' (Steve Alaimo) comes off as somewhat of an unimpressive 'Everyman' - he's not especially brave, tough, talented, or handsome (although he does win a fight with a tough biker gang member halfway into the film, and the girl gang member chooses to help him over her fellow gang member at the end of the film). The soundtrack is quite well done, featuring a nice 'Ventures' style bass/drum riff that keeps things moving and saxophones and brass charts that pep things up quite a bit. And although the script is pretty shallow, all the actors inhabit their cardboard characters convincingly and with a fair amount of energy.<br /><br />There are plenty of careless technical gaffes: terrible 'day-for-night' scenes that occur in broad daylight, squealing tires in a swamp, fire sirens mistakenly stuck on the soundtrack instead of police sirens, a bank sign made of duct tape on a ceiling tile, a Luger that sounds like a Winchester 30-06, shotgun blasts that cut down people 100 yards away, a detective killing a biker on a 3rd floor landing from the ground with a revolver with a 2 inch barrel.<br /><br />There are a whole bunch of goofy story elements : Linda (the girl gang member) disables a bank guard with a drug-filled syringe, the final shootout takes place inside a lighthouse (!), police roadblocks don't actually block roads, the police apparently never heard of ducking, and the police detectives apparently never heard of planting bugs or having their undercover guy wearing a wire.<br /><br />But the plot chugs along, the cameraman knows what he is doing, the pacing in most scenes is pretty good, and there are some nice, zippy one liners and dialog exchanges here and there that keep the energy level up. (My favorite: ""Man, you're messing with private stock! (ie, Linda)"" So no, don't seek this one out or anything, but if a copy of the MST version should fall in your hands, you should have some good, shallow fun watching it. Vastly superior to ""Five the Hard Way"" or ""The Hellcats"" or even 'Girl In Gold Boots' (three other MST covered counter culture movies).",0,0,0.33167616,1
"Bad, bad movie. When I saw the synopsis I was expecting something like Ring only with video game instead of tape. Nothing of the sorts happened. I'll admit idea is interesting and could be turned into a good movie but this is not it.<br /><br />First of all choosing real life person, countess Bathory, is stupid move that adds absolutely nothing to the story. Anybody even vaguely familiar with her story would begin to wonder why and how did this Hungarian noblewoman end up in this movie. Choosing a generic vengeful spirit would be much, much better.<br /><br />Then there is whole you-die-in-real-life-as-you-die-in-the-game concept. As I said before interesting, Ring-like story. But instead of developing it into good story line it sort of just flows along with no explanation given why did this game became such as it is, why it was created and so on. Waste of good idea.<br /><br />And finally this movie doesn't even have gory of funny parts that can if not save at least make crappy horror movies watchable. Death scenes are too quick and acting is too wooden to be funny.<br /><br />Avoid if possible.",0,0,0.016141288,1
"The best thing I can say about the American version is that Jane Turner and Gina Reilly must be raking in the money for this crap. Yes, the American rip-off was shown for about two episodes in Australia but didn't rate; probably by curious viewers who were wondering how bad it would be. Answer: DEPLORABLE, a complete waste of time. The actors are relatively unknown and they don't take readily to the nuances of the Australian-written script. Bad luck for them as they are doomed to plummet with this turkey. My advice to USA viewers is DON'T.<br /><br />Americans should be best advised to find DVD's of the ORIGINAL VERSION on eBay, but be aware that some DVDs are in a different 'zone format' to those issued in the USA. Otherwise, some DVD players will operate discs from both/all zones.",0,0,0.01622039,1
"Perhaps this movie is a little too long, but it still has some charm 45 years later. The main roles seem more appropriate for Clark Gable and Vivien Leigh. I could care less about Gary Cooper, but Ingrid Bergman is fine, particularly in dark hair. The movie is worth seeing for the supporting cast: Flora Robson is terrific as a mulatto servant. She is a white woman in blackface, and can have an expression of evil or of a voodoo mistress. Jerry Austin as a servant dwarf has a delightful role, that keeps you chuckling despite some overlong scenes. Speaking of scenes, Florence Bates steals most of the ones she is in as a dowager social lady. I didn't understand the outcome of the railroad fight at the end of the movie, and the last scene was pure Hollywood dreck. It's an odd feeling when you realize the film title refers to a railroad rather than a piece of luggage!",1,1,0.7649194,1
"Shaggy, friendly yet frustrating film has the same old message: if you want to make it in this world, being imaginative isn't enough, you have to live up to your place in society and that means living by the (heterosexual) rules that govern us. Drag queen comedy-drama from Australia is a mostly upbeat journey of three male friends traveling across the Outback in their pink bus, christened Priscilla. While not a formula film per se, there are the obligatory ""road movie"" sequences (bonding by the bonfire, facing down the rednecks, etc.). Writer-director Stephan Elliott follows every potentially mean-spirited moment with a little humor and sympathy, but there are puzzling gaps in his narrative, a dire subplot about a gay man's relationship with his ex-wife and estranged pre-teen son (both of whom are comfortable--and the child wise--with his lifestyle), and a third act with no energy whatsoever. It has some wicked transvestite humor and a fairly game cast, but a script that seems to have been watered down along the way. ** from ***",0,0,0.04891118,1
"Stripes, an army training camp comedy starring Bill Murray and directed by Ivan Reitman, is a favourite of mine. Meatballs, a summer camp 'romp' starring Bill Murray and directed by Ivan Reitman, is a complete waste of time. It takes a considerable effort for four screenwriters to produce a movie (the word 'comedy' infers a work with mirth aforethought) as witless, anaemic and boring as this.<br /><br />Murray evidently reached the same conclusion during filming, but his usually reliable powers of improvisation escape him and his flailing attempts to inject life into proceedings just add to the embarrassment - the ""It really doesn't matter"" chanting scene is excruciating. It doesn't help that the supporting cast is bereft of talent - the funniest thing about them is their hair, but then Meatballs was made in 1979. (""And introducing Chris Makepeace as Rudy"" announce the opening credits. No, not THE Chris Makepeace?!).<br /><br />Mercifully, Reitman rectified his mistake two years later for Stripes. Murray's shtick is so much funnier when he's larking around with the likes of John Candy, Warren Oates and John Larroquette. Ditch this and watch that.",0,0,0.12447245,1
"I LOVED this movie. Not as great as ""50 First Dates"", but it's definitely a repeater, especially on a rainy day or with a group of girlfriends. Yes, the plot was ""cute"" and maybe even unbelievable, but what's so bad about a feel good movie. Drew as Josie and her romance with the teacher is so sweet and brother baseball wannabee adds to the movie's good feeling. With all the junk out there, what's so bad about a good movie the whole family can enjoy? Without being embarrassed while watching with your kids! Drew is an awesome actress that really seems to be unappreciated for the most part. This is definitely one of her best roles!",1,1,0.9309867,1
"This is a total piece of crap. It is an insult to the awesome book by Frank Herbert. They have mangled the story and characters. The acting is average to bad. The only character done right and played well is Duke Leto, played by William Hurt. Unfortunately, he dies pretty early in the story and then its all downhill from there (not that its a very tall hill to begin with).<br /><br />The 1984 movie was directed by the legendary David Lynch. I was not overly impressed with the movie, but considering the technological limitations of the time, they tried their best. Amazingly, the crappy mini series makes it look so much better by comparison. It was at least somewhat true to the book, which I really love. <br /><br />They had the chance to do it right this time, sadly it was not taken.",0,0,0.091707766,1
"My husband wanted to watch this film because the review in the paper said that it was better than Fatal Attraction. Well, not liking either Michael Douglas or Glenn Close, I would have to agree. Not for conventional reasons though.<br /><br />This is one of those films that needs to be watched late at night when you don't want to watch something that really requires thought but don't want to go to bed yet.<br /><br />Yancy Butler is a really enjoyable bad-guy. She is not the best of actresses, in fact she isn't even good but she is perfect for this role in this film. Everyone else in it varies from pine to oak, including the slightly disturbing boy who comes across as a warped Pinocchio.<br /><br />SPOILER: The ending goes a step or two too far, complete with the cliché not quite dead, up with a roar, still gonna get you moment and then there's a shot of Pinocchio with his frozen wooden smirk which makes you wonder if they were going for chilling or just forgot there was botox in the make-up.<br /><br />Regardless, it's a hilarious eighty odd minutes and despite being a bad film, you would have to be lacking the humour gene to not enjoy it somewhat. Don't pay for it but if you're in that kind of apathetic telly mood then this is just right.",0,1,0.6298398,0
"This is definitely the biggest surprise of the festival so far and without a doubt the best the festival has had to offer. I went into this film with little to no expectations after learning that the director was responsible for the awful vampire flick The Forsaken. and I left pleasantly surprised. The film stars Lori heuring of In Crowd fame as a young mother whose husband has just passed. She moves into an old family home in the mountains with her two daughters next to a mine that is a gravesite to overworked children back in the day. Unlucky for them the children return with a vengeance killing and eating everyone in their path. The film works on many levels. It's well done, suspenseful, it has spots of good cinematography and capable performances by Compton especially. The atmosphere is spooky yet slightly underwhelming, the score is decent and the makeup effects are gruesome and simplistic. The film keeps up a creepy and unsettling tone and the kids themselves with pale skin, torn up lips and hollow eyes are pretty scary and unrelenting. The film is original and inventive without being to artsy or complicated. I can't see this film making it into a wide release without some trimming and slight fine tuning. But they definitely have a good product on there hands and should pursue some type of theatrical distribution. However the theatre in which i saw it in was horrible. The sound was dreadfully messed up which i felt took away from the film majorly and it stopped in the middle because they couldn't center it on the screen which killed the mood a bit. All in all though it was the most satisfying of horrorfests entries maybe because it had the least expectations but nonetheless was a welcome addition to genre films.",1,1,0.90206224,1
"I agree with one commentator who says that it's really impossible to review Glen or Glenda? objectively. If one does so, the film on its merits would have to be rated as fairly terrible given the hilarious, convoluted dialog, the generally mediocre to poor acting by the cast as well as the zero production values. Yet, such an assessment does not capture the absolutely riveting experience of watching this film as it unfolds. It isn't the fact that the subject of the film is transvestitism and that it was a controversial lifestyle choice in the 1950s. It's not even the plea for tolerance of people who embrace alternate life choices that fascinates except as an historic relic.<br /><br />No, what makes Glen or Glenda? still a fascinating film after 50 years is that Ed Wood laid his psyche bare in a way that so-called auteur directors like Hitchcock or Godard, despite their vastly superior talents, never did. In Glen or Glenda, Wood isn't afraid to reveal his own deeply conflicted feelings about being a transvestite despite the plea for tolerance for it through out the film. Indeed, the conclusion of the film suggest that Ed Wood's Glen character will be able to ""kill"" his Glenda female counterpart by transferring the feelings of love and affection Glen has for his feminine counterpart to his future wife, Barbara. The psychiatrist even reassures Glen and Barbara that as Glen makes that psychic transference, Glenda will disappear. So, while Wood could plead for tolerance of transvestites in general, he wasn't so sure of desiring it for himself.<br /><br />Moreover, Wood wasn't afraid of throwing everything else that crossed his mind on the screen. He did it with whatever stock footage he could get his hands on. If it didn't cohere, so what? What the viewer saw in Glen or Glenda especially was Ed Wood's imaginative world in all of its fundamental strangeness.<br /><br />The only comment I wish to add to my comment above is that my two-star rating is based solely on the objective evaluation criteria cited in the first paragraph. The oddly memeric effect the film has despite its technically atrocious qualities I don't think can be rated.",0,0,0.03503042,1
"A man comes to the office of the psychiatric Dr. Sammael (Joan Severance) claiming to be the demon Asmodeus (Kane Hodder), the torturer of the 13th level of the hell, and he would like to tell weird things. He tells that he had made a deal with Lucifer to become human again. He should knock-up his virgin sister Mary Elizabeth (Alison Brie) on the day that their mother died and she should kill six people and deliver the Anti-Christ, and then he would escape from the pit and reborn. When Mary Elizabeth gets pregnant, her stressed and abusive sister Catherine (Denise Crosby) does not believe that she is virgin, but their father and former obstetrician Albert Martino (James Callahan) examines his daughter and sees her intact hymen. Meanwhile the Church discovers the truth about Mary Elizabeth's pregnancy and sends the priest and former military Father Anthony (Eddie Velez) to spy Mary Elizabeth. She is dominated by the fetus and forced to kill a truck driver, Lars (Jorg Sirtl), who is the lover of her tenant and friend Jennifer (Azalea Davila), and Jennifer herself and eat their hearts and drink their bloods, but she believes that she has nightmares. However during the ultrasound, she realizes that she is carrying a monster and she asks her father to stop her pregnancy. But it is too late.<br /><br />The awful ""Born"" is a B-movie (actually a Z-movie) that believes that is a great movie. The result is a pretentious and disappointing production, with an incoherent and absurd story without humor and terrible acting and direction. The plot is a complete mess: there is a priest that is a hit-man and former soldier; a demon in existential crisis going to a psychiatric; a father that examines the virginity of his daughter; two female-demons (succubus?) that stand naked like a statue with both hands covering their sexes; a character that is a slut, and only exists to expose her beautiful body. There are many scenes with free and cheap nudity. But the worst is the acting: the unknown lead actress Alison Brie is histrionic, with ridiculous voices and grimaces. Sorry, Ms. Alison Brie, but I hated your annoying performance. I have not recognized Joan Severance, who has a good performance, since I still had the image of her youth. Denise Crosby performs a hateful character and like everybody, she got older but she is still a good actress. I believe that if the writer and the director had included some dark humor and assumed that this movie is a B-movie, the story might have worked better and better. My vote is three.<br /><br />Title (Brazil): ""O Anti-Cristo"" (""The Anti-Christ"")",0,0,0.033330705,1
"Great cast, great acting, great music. Each character in this movie had their own stories and personalities and it's vivid. A great movie not to be missed.",1,1,0.98595065,1
"I'm a massive fan of prison dramas which is reflected in OZ being my all time favourite American TV show . I guess the appeal lies in a type of smug voyeurism of wanting to see bad things happen to bad mens' bottoms , but I found Don Siegel's RIOT IN CELL BLOCK 11 to be rather disappointing . Okay I knew since it was made in 1954 it would be devoid of bad language , graphic shankings and gang rape but even so it's a rather weak film compared to prison portrayal in earlier movies like EACH DAWN I DIE and WHITE HEAT . The problem lies in the preachy tone of the movie with riot leader Dunn being something of a prison reformer . Yeah that sounds ridiculous since he's a violent anti hero rather than some limp wristed tree hugging do gooder on a salary , but that's what he is in essence , he wants to see prisoners rehabilitated to rejoin society rather than being made to suffer . There's also a problem of making a B movie with such radical themes ( Quite ironic that Siegel would later make DIRTY HARRY where the only good criminal is a dead one ) and that is the cast isn't very good with Emile Meyer as the warder being especially irritating in his performance . like i said a disappointing movie",0,0,0.30843842,1
"This is one of those so-called ""Hollywood Social Commentary"" films that wants to have it both ways. And believe me, in this film, both ways are clichéd and stereotypical. STOP-LOSS is a 21st Century John Wayne Film dealing with some anti-war sentiment but clearly ending on the note that ""If you are a MAN in today's society, you get your act together and march off to war with your buddies."" In many ways the film was a great sequel to TAXI TO THE DARK SIDE as it portrayed a military equally as insane and out of control, a quasi FRAT PARTY/ANIMAL HOUSE extravaganza mixed in with a Texas Red Neck world of repressed homo-erotic proofs of masculinity. This movie had it all in one scene after another of clichéd imagery. And then rebellious military deserter Ryan Phillippe goes on a ""Road Trip"" with best friend's girlfriend, an artificial storyline manipulation to visit families of dead servicemen, maimed soldiers in military hospitals, etc. and finally to broach the issue of fleeing to Canada or Mexico. But male honor and patriotism win out in the end, as all freshly scrubbed and handsome, he rides off into the sunset on a bus with his buddies back to Iraq and a world that a few minutes before he assured everyone he could never again tolerate. FULL METAL JACKET meets SANDS OF IWO JIMA . But in the end, John Wayne rides again! And a Hollywood Blockbuster ultimately gets to keep both sides of its audience in the palm of its hand.at least it would like to think so. As far as I was/am concerned, just take me back to the more convincing reality of IN THE GARDEN OF ELAH.",0,0,0.035990804,1
"Some of the reviewers of this film were extremely ""generous"" with praise. I personally was disappointed, because due to those reviews, I was optimistic as the opening credits began to roll.<br /><br />The all-too familiar story line goes like this: Deformed boy and his father live out in Louisiana swamp. Local boys ridicule and torment him. Local boys start Gruesome's, oh sorry, I mean Victor Crowley's cabin on fire with him in it. Dad attempts to rescue his son, formerly known as Eddie Munster meets the Elephant Man, but accidentally puts a hatchet through the kid's head instead. Victor becomes a murderous ghost who hunts down unfortunates who enter his domain. Oooo... scary.<br /><br />One thing I appreciated about Hatchet was that it never took itself seriously and some of the gags even made me laugh. The thing is, I've grown tired of the Hollywood-polished, B-horror slap-sticks. I like to laugh and I enjoy a good scare, but this film didn't deliver a solid dose of either. As for Crowley being the next Michael, Jason, or Freddy... Pumpkinhead has a better chance.",0,0,0.0854282,1
"This is the final episode we deserved. At the end of the last season, things were left in a 'life goes on' mood, which was hardly the wrap-up that this realistic series deserved. While not a happy show, this series was always one that made you think (a rare thing on television), and this is no exception. 'Is death justified by reasoning?' 'Are morals reflective of society, or is society shaped by the morals that are selected by the few in power?' 'What is a just death, and can it exist?' All of these questions, and more, are posed by the writers of this show every week, and this is their final thesis. Fine acting, great writing, wonderful camera-work, brilliant editing, clean direction. If you have seen the series and you missed this when it first ran, then get a hold on a copy somehow. If you never watched the series when it ran, then this will stand up on its own, but it may be heavy going trying to keep up with who all the characters are and what they are alluding to in their varied pasts. For those of us who were avid viewers of the series in the last two seasons, this is very satisfying viewing.",1,0,0.16822028,0
"4 out of 10<br /><br />A somewhat unbelievable storyline with some haunted-house type ""shocks"" that really don't fit in.<br /><br />Gary Oldham's performance is very erratic...not so much the quality of the performance but the consistency. His character does not behave in a consistent manner. Sometimes calm/relaxed/methodical/thoughtful, sometimes violent/loud/almost crazed. It's just not believable. <br /><br />Have many 80s movies dated badly? Will they be more enjoyable 20 years from now?<br /><br />",0,0,0.016830057,1
"I'm not sure why there are no articles or posters or anything about this film because I just saw it and thought it was AWESOME. I guess it's not for everyone because it's basically Kafka's ""The Trial"" meets ""Beevis and Butt-Head"", which is a pretty tough combination to swallow. Still, I thought it was great. If you're going to see it because you want a sequel to Office Space you're probably going to be disappointed. But if you want to see one of the most brutal, acid-tongued, and hilariously honest looks at where our society is headed you're in for a treat. I just saw the 8pm show opening night in Los Angeles and there were only 12 people in the theater, which means the film will probably be gone in a week. That's really a shame because, in its own way, Idiocracy is one of the best satires to come along in quite a while. But then again it's basically making fun of the people who make up about 99% of the movie-going audience so I guess it's no wonder the studio panicked and tried to dump it.",1,0,0.35450453,0
"As a modern Marco Polo, from Venice to China, here we come Amelio, again, taking on the task to render us the grey area in the middle of two worlds in solid colors. Eroded by globalization's collateral damages, the pessimistic vision of Europe is mutual with Chinas. <br /><br />The view of that charming but puzzling country is dealt from below, devoid of any claim to learn or impose opinions. Reality, nonetheless, is harsh. Abandoned and exploited children, beehive-homes, backward areas is the OTHER china we ignore. Vincenzo (Castellitto), a technician of a steel factory, is one of us. His voyage to China is a pretext to understand, to learn from the inside a country where progress and third-world problems live together in an infamous balance. It's not exactly clear if Vincenzo knew by the first time that the mechanical component was already been fixed, I think so; anyway is a minor aspect. Liu, the Chinese girl, is the key of the whole film. She carries on her back a lot of difficulties, she's got the strength to overcome, but how could she fight with little money and little help ? <br /><br />The realistic and unbiased view of the facts by the girl, refusing Vincenzo's money, touched me a lot. A pack of bank-notes can't get back her husband, her baby (forced to treat like a stranger for the Law), protect her by scorns. Liu knew his intentions were benign and kind, far from a cold charity act. Their friendship is beautifully narrated, the way it grows step by step, dignified and formative, unique. A priceless legacy to keep.<br /><br />Some scenes are stunning, either for the acting (Vincenzo crying on the ferry) or by the dialogues (at the restaurant, on the railroads). Besides a careless editing and a pretty lazy start, ""La Stella che non c'è"" is brilliant and sharp just because chronicles the untold verities.<br /><br />In competition at 63rd Venice Film Festival, plenty bet on Tai Ling for the Mastroianni Prize, dedicated to emerging stars. She definitely deserved that award.<br /><br />[8/10]",1,0,0.047187958,0
"being a high school student,i have to take a health class. this year, the topic is drugs. we learn about the harm they can cause a person. from what we talk about, i still believe and know that drugs can really mess a person up. anyway, my teacher wanted us to watch this. naturally, we groan and start to sleep, but like the rest of my class, i actually did enjoy this movie. it was totally real, and not sugar coated at all. the characters were amazing and believable. even the plot was outstandingly realistic and believable. what i liked about this movie mainly was how it got the point of the effect's drugs can take on an abuser, and the consequences the person has to deal with. everyone reassures themselves that nothing bad will happen to them. well lets get serious. anything can happen in a small town, even to your best friend, like Sam and Chris. this movie shows it. a person can really learn a lot from watching this. it was pretty effective.",1,0,0.2243857,0
"Last night, I got bored and decided to watch a movie called 'out kold' which I had once bought with a whole lot of other cheap movies from a videostore. Seemed like a good old action movie, so I took out the chips and coke and was ready for a relaxing evening. Well, the pain started right from the beginning. The main character is a boxer who is the nicest guy I have ever seen. As the good person he has to be nice of course, but he is just a pussy! That totally doesn't fit with a boxer that has 28 KO's and starts working for a pimp to earn some extra money. Even nice guys can still be cool. Well, then came his first fight while he was working for this pimp. Every punch was clearly missed and that became even more annoying because the sound effect weren't synchronised with the punches. Then there is this totally worthless acting of the whole cast, and you have enough reasons to leave this movie for what it is. I gave it a 1 because I have never seen such a bad movie.",0,0,0.2260979,1
"I'm no Jane Austen purist but why make a film like this if you have nothing to say.<br /><br />Billie Piper was so wrong for the part it is difficult to know where to begin-wrong personality,modern make-up,completely wrong hair (there is no way a young lady of her age would have romped around in public with her hair loose and unbrushed like that),she didn't seem particularly meek nor put-upon by the family and I didn't understand why everyone seemed to think of her as particularly saintly or kind.<br /><br />The picnic(substituted for the ball) was so low-budget it was embarrassing to watch and missing out the Portsmouth section completely destroyed the point of the piece (as well as losing scenes which could have added a gritty counterpoint to that oh-so-claustrophobic pink sitting room.)<br /><br />To those responsible:-If you haven't the imagination (even the budget doesn't matter so much as the imagination) to do something meaningful with an adaptation please don't pretend to be producing Jane Austen.<br /><br />It was about 10% Mansfield Park and 90% nothing much at all<br /><br />PS Edmund was very good",0,0,0.008082892,1
If you haven't seen this movie than you need to. It rocks and you have to watch it. It is so funny and will make you laugh your guts out!! so you have to watch it and i saw it about a billion and a half times and still think it is funny. so you have to. yes i have memorized the whole movie and could quote it to you from start to finish. you must see this move. it is also cute because it is half a chick flick. if you don't watch it then you are really missing out.this movie even has cute guys in it and that is always a bonus. so in summary watch the movie now and trust me you will not be making a mistake. did i mention the music is good too. So you should like it if you enjoy music. This is a movie that they rated correctly and it will work for anyone.,1,1,0.97724026,1
"I loved it. I had just sat through half of ""The Glass House"" (turned it off...god what a morass of predictable plot and bad acting) and then I saw this movie. I thought it was terrific. Loved both Cameron Diaz and Jordana Brewster in it. I liked the escapism of the whole setting, the traveling around Europe in the 60's thing - yet they made it more realistic by showing the dark side and all of the bad things that could happen. It held my attention completely, even if I did think that parts were unbelievable.",1,1,0.8741191,1
"Remember those old kung fu movies we used to watch on Friday and Saturday late nights when our babysitters THOUGHT we were in charge? Well, this movie plays exactly like one of those movies. Patsy Kensit's biggest claim to fame was the love interest to Mel Gibson's character in ""Lethal Weapon 2,"" and this performance was one of the reasons why she's never made it big: she's a terrible actress.<br /><br />In ""Lethal Weapon 2,"" I thought she was cute. Cute enough to check out some of the other movies she'd been in, including ""Loves Music, Loves to Dance"" another big let down, which I, obviously, was not impressed with, either. But, as attractive as she is to my eyes, my soul screamed at me to turn it off because she played another cheap, predictable role, and done it very badly.<br /><br />In this movie, Kensit stars as a comedienne (and not a good one, either) who's working the clubs of France (couldn't cut it in her own homeland, so she's making THEIR ears bleed), who's down on her luck, but, even worse, the French government wants to throw her out because of an expired visa (or maybe they just caught her act). But she gets married to this Casanova (Freiss), who is just as down on his luck, and the predictability begins...terribly! Is there any way to give this movie a NEGATIVE rating? 1 out of 10 stars is over rating it!",0,0,0.08741169,1
"This movie is excellent ( i watched the French version ). There are many subplots (which usually detracts from the whole ), but they nicely unfold and concur to the ""discovering of one's real self"" main theme. In fact, the whole movie (besides his background ) is the journey to the discovery of one's ( or someone else's ) self. Is the King really a ""good peacenik monarch"" trying to wage a ""war to end all wars"" or is he just a disturbed, blood thirsty hoodlum? Is he a true king, after all? Is the attendant to the queen mother just a lusty, career-driven, spineless sock puppet or rather a sharp thinking, bold individual? Will the dame/concubine realize who the king truly is? What's between the king and the old chancellor? What's the secret everyone knows but won't tell? What's the true reason the assassin quit his ""job""? Subplots (something i'm not particularly fond of ) are handled well and keep one watching until the end. Scenes are well crafted and CGI fits nicely in, without going overboard. Suspense is properly maintained and actors are upto the task. There is a lot of brain-damaged smiling, but that is how one was supposed to behave at the king's court ( as the dame/concubine complains about ). Realistic movie without superhero moments. This Chinese movie really puts Hollywood cardboard colossals ( Gladiator etc ) to shame.",1,1,0.8959932,1
"Think 'Charmed' with testosterone instead of estrogen and you get the general idea for this picture. A very lame story with mediocre effects and an anti-climax ending to let the door open for a part 2. Let's hope someone has the sense to spend their money wiser. I'd suggest a 'Charmed - the movie' because compared to this 'Charmed' kicked ass and I only watched that show to please my girlfriend!!!! Wait and watch it on DVD on a rainy Sunday when you've got nothing better to do. Or better yet download it so you don't waste your money. The first 15 minutes were alright. But the funniest line from the movie and also the only highlight of this movie is when Reid says : ""Kiss my ass Harry Potter"", while driving of a cliff. Although they are not worthy to kiss Potter's ass, because Potter is way cooler and at least his movies have a story. The Goblet of fire was even scarier than this!!!",0,0,0.114025265,1
"I had read online reviews praising this obscure outing as a combination of gory horror, quirky black comedy and borderline art-house; the film has elements of all three, to be sure, but they are at the service of such a supremely silly premise (the title immediately gives the game away)  and amateurish production to boot  that its long-term neglect due to a lack of proper distribution  basically until Cult Epics picked it up for DVD release a full 30 years after its inception!  was no great loss to cinema or even the genre(s). The bed was apparently created for the purpose of accommodating a demon's dalliance with a woman; anyway, a dying man who had made use of the four-poster and even painted it ends up trapped in the wall behind the canvas(!) and provides intermittent commentary to the 'action'. Several people (from teenagers-on-a-fling to gangsters-in-hiding) supply fodder to the perennially-hungry bed; latest on the menu are a trio of girls  one of whom, however, recalls its mistress of long ago and, consequently, the bed seemingly fears her! Seeing various objects  from cigars to pieces of fried chicken  and people getting swallowed up (the belly of the bed is depicted as a vat of honey-colored liquid) makes the film mildly amusing at times (especially when a young man's hands are reduced to their skeletal formation, which he seems to take rather too easily in his stride!), but also awfully repetitiousso that, at even a brief 77 minutes, the whole pointless exercise feels strained and downright desperate.",0,0,0.05805432,1
"When, oh when, will Hollyweird write a decent movie based around computers? I cannot believe people actually consider this movie to be a credible story.<br /><br />No computer operating system could ever survive wit that sort of annoying scrolling interface. It may look good on a movie screen but if you actually tried using it for any length of time you would go nuts.<br /><br />As for ""tracing"" people the way she did it simply cannot be done that way. Network security alone would prevent that from happening. The key stroke logging was laughable to say the least.<br /><br />Regarding the software that was supposedly being installed, no system administrator would allow such a critical piece of software to be installed on a production system until it has been tested, retested and tested again on a sandbagged system.<br /><br />But probably the worst possible part of the movie was the ""virus"". There is no way that a virus that works on one operating system will work on any other system. And as for a virus that could take out a mainframe is a couple of seconds, that just beggars belief. There is no way that an open remote connection would have the required superuser access that would allow deletion of system files.<br /><br />I could go on but I can't be bothered.<br /><br />A porno has a better thought out plot that this pile of garbage.",0,0,0.015584011,1
